PI_pur;PI_sell
0.12113;0.08304
0.16457;0.09482
0.16662;0.09795
0.25548;0.09682
0.25296;0.0948
0.24458;0.0885
0.24417;0.08798
0.15374;0.08843
0.14732;0.08257
0.15456;0.08847
0.16372;0.09578
0.26074;0.09997
0.26563;0.10349
0.2712;0.10752
0.26664;0.10271
0.17339;0.09869
0.16952;0.09525
0.10468;0.06858
0.09509;0.05979
0.0898;0.05531
0.08891;0.05443
0.08661;0.05252
0.08796;0.05422
0.09714;0.06271
0.11214;0.07758
0.1577;0.08965
0.16473;0.09753
0.24738;0.09048
0.24304;0.08678
0.23336;0.07906
0.23045;0.07643
0.14022;0.07693
0.14063;0.07677
0.14672;0.08179
0.15437;0.08801
0.25725;0.09777
0.25639;0.09571
0.25949;0.09765
0.25622;0.09396
0.15611;0.08379
0.15095;0.0786
0.10055;0.06394
0.09679;0.05958
0.09143;0.05489
0.08846;0.05197
0.08861;0.05178
0.08849;0.05177
0.08954;0.05331
0.08984;0.05412
0.09593;0.06146
0.09878;0.06614
0.10053;0.06964
0.09909;0.06873
0.09707;0.06778
0.09577;0.06644
0.09695;0.06728
0.09491;0.06518
0.09664;0.0664
0.10054;0.06975
0.11832;0.08334
0.12322;0.08828
0.12961;0.09337
0.1245;0.08863
0.12145;0.08327
0.10516;0.06981
0.10297;0.06585
0.09726;0.05982
0.09261;0.05515
0.09364;0.05488
0.09385;0.05485
0.09374;0.05487
0.09332;0.05483
0.09317;0.05509
0.09138;0.05551
0.09483;0.0595
0.09353;0.06098
0.09393;0.06218
0.09381;0.06321
0.09208;0.06155
0.09213;0.06148
0.08528;0.05501
0.09163;0.06036
0.09907;0.06665
0.10444;0.07174
0.11661;0.0817
0.12221;0.08628
0.1238;0.08755
0.12171;0.08338
0.10671;0.07069
0.12054;0.0811
0.11872;0.07924
0.11031;0.0718
0.10883;0.07029
0.10789;0.06973
0.11258;0.07428
0.11516;0.07753
0.11358;0.08004
0.15107;0.08324
0.15231;0.08538
0.23967;0.08266
0.2335;0.07755
0.23239;0.07741
0.23137;0.07634
0.1363;0.073
0.13548;0.07183
0.14026;0.07563
0.14912;0.08267
0.25262;0.09263
0.27443;0.11079
0.28116;0.11589
0.26095;0.09883
0.15262;0.0831
0.14074;0.07306
0.1231;0.08386
0.10732;0.07061
0.0986;0.06294
0.09466;0.05947
0.09297;0.05819
0.0941;0.05931
0.09547;0.06174
0.10776;0.07421
0.1595;0.09105
0.16124;0.09355
0.24997;0.09162
0.24357;0.08631
0.23985;0.08382
0.23553;0.07982
0.13783;0.07411
0.13422;0.07073
0.13741;0.07318
0.14365;0.07832
0.24231;0.08452
0.25053;0.09102
0.25203;0.09179
0.24455;0.08451
0.13684;0.06889
0.12439;0.05806
0.08184;0.05006
0.07626;0.04462
0.07083;0.04025
0.06871;0.03831
0.05812;0.0294
0.06702;0.03647
0.07496;0.04479
0.08621;0.05594
0.12364;0.06051
0.12671;0.06387
0.2173;0.06365
0.21245;0.05946
0.20663;0.05483
0.20292;0.05142
0.10987;0.04973
0.10462;0.04477
0.10832;0.04785
0.11547;0.05381
0.2117;0.05802
0.21974;0.06447
0.22385;0.06767
0.21866;0.06251
0.11593;0.05094
0.10697;0.04273
0.05833;0.03052
0.04727;0.02089
0.03508;0.01088
0.02736;0.00338
0.0268;0.00287
0.04311;0.01649
0.06615;0.03727
0.07844;0.04915
0.11946;0.05602
0.12097;0.05843
0.20828;0.05552
0.20654;0.05396
0.20187;0.0503
0.201;0.04941
0.10341;0.04352
0.10719;0.0466
0.10787;0.04703
0.11252;0.05061
0.20874;0.05556
0.21057;0.05701
0.20918;0.05485
0.20601;0.05153
0.11343;0.04866
0.10628;0.04219
0.06346;0.03589
0.05505;0.02893
0.05055;0.02568
0.04957;0.02392
0.0484;0.02299
0.05396;0.02733
0.05668;0.02989
0.06776;0.04087
0.11177;0.05083
0.11367;0.05332
0.20215;0.05087
0.19791;0.04711
0.19365;0.04383
0.19223;0.04242
0.09546;0.03734
0.09603;0.03738
0.09812;0.03919
0.10941;0.04851
0.20731;0.05464
0.21107;0.05707
0.20965;0.05541
0.20729;0.05273
0.11584;0.05161
0.11075;0.04646
0.05884;0.03242
0.04994;0.02474
0.0368;0.01382
0.03454;0.01178
0.03262;0.01006
0.03257;0.01006
0.03821;0.01382
0.04265;0.01822
0.04675;0.02297
0.04942;0.02694
0.05477;0.03187
0.05358;0.03091
0.049;0.0274
0.05093;0.02899
0.05115;0.029
0.04682;0.02505
0.04707;0.02513
0.04898;0.02669
0.0558;0.03264
0.06786;0.04346
0.07485;0.04911
0.07599;0.0498
0.0659;0.03982
0.05698;0.03197
0.0468;0.02114
0.03635;0.01182
0.02579;0.0032
0.02425;0.0017
0.02465;0.0017
0.02625;0.0032
0.03273;0.00842
0.03887;0.01381
0.04354;0.01895
0.05118;0.02588
0.05361;0.02992
0.05288;0.02972
0.05143;0.02896
0.05204;0.02951
0.05234;0.02971
0.05245;0.02925
0.05293;0.02969
0.06852;0.04287
0.08011;0.05269
0.08478;0.05718
0.08764;0.05912
0.08345;0.05561
0.0832;0.05378
0.07661;0.04773
0.07802;0.04644
0.07371;0.04293
0.0663;0.03645
0.06152;0.03222
0.06108;0.03196
0.06713;0.03642
0.0831;0.05105
0.09075;0.05956
0.13833;0.07184
0.14059;0.07486
0.23122;0.07477
0.22605;0.07035
0.22359;0.06884
0.22149;0.06682
0.12593;0.06304
0.12454;0.0614
0.12858;0.06465
0.13399;0.06911
0.23117;0.0737
0.23209;0.07468
0.22694;0.07004
0.22452;0.06807
0.12368;0.05822
0.11914;0.05432
0.09044;0.05746
0.08458;0.05234
0.08375;0.05108
0.08089;0.04843
0.08058;0.0482
0.08441;0.05098
0.092;0.05911
0.10132;0.06886
0.1388;0.07373
0.14472;0.0795
0.22874;0.07373
0.22653;0.07182
0.22359;0.0698
0.22226;0.06853
0.13059;0.06789
0.13108;0.06795
0.13198;0.06857
0.13805;0.0735
0.23983;0.0818
0.2311;0.07526
0.23051;0.07437
0.22763;0.07104
0.13364;0.0666
0.12312;0.05695
0.07958;0.04912
0.07496;0.04489
0.07313;0.04314
0.07165;0.04178
0.07191;0.04201
0.07459;0.04473
0.08208;0.05103
0.09672;0.06525
0.13123;0.06716
0.13435;0.07051
0.22242;0.06805
0.22148;0.06745
0.21876;0.06564
0.21738;0.06417
0.12484;0.06284
0.12589;0.06351
0.12862;0.06575
0.13088;0.06802
0.22606;0.07027
0.22553;0.07039
0.22228;0.06714
0.22046;0.06473
0.12632;0.06044
0.11725;0.05233
0.07676;0.04656
0.07476;0.04464
0.07369;0.04357
0.07224;0.04219
0.07365;0.04337
0.07399;0.04408
0.08384;0.05287
0.09505;0.06301
0.12905;0.06521
0.12835;0.0659
0.21867;0.06475
0.21744;0.06376
0.21343;0.06052
0.21192;0.05909
0.11749;0.05614
0.11417;0.05299
0.11642;0.05481
0.12241;0.06024
0.21933;0.06305
0.21753;0.06341
0.21369;0.05946
0.21301;0.05779
0.11559;0.05081
0.10822;0.04527
0.07256;0.04253
0.06701;0.0381
0.06186;0.03352
0.05757;0.0298
0.05631;0.02877
0.06066;0.03284
0.07727;0.04482
0.08649;0.05516
0.12129;0.05842
0.12081;0.05871
0.20969;0.05669
0.20726;0.05449
0.20503;0.05302
0.2006;0.04883
0.10556;0.04515
0.10547;0.04465
0.11021;0.04866
0.11682;0.05447
0.21385;0.06056
0.21245;0.05918
0.20735;0.05416
0.20346;0.04987
0.10919;0.04572
0.09569;0.03492
0.03497;0.01268
0.02552;0.00476
0.02238;0.00214
0.02207;0.00171
0.02215;0.0017
0.02216;0.00171
0.02216;0.0017
0.02179;0.0017
0.02109;0.00171
0.02216;0.00372
0.02288;0.00488
0.01885;0.00177
0.01869;0.00177
0.01818;0.00177
0.01862;0.00177
0.01884;0.00177
0.01873;0.00177
0.01889;0.00177
0.02373;0.00483
0.02654;0.00802
0.03332;0.01375
0.02986;0.01075
0.02365;0.00485
0.02019;0.00177
0.02251;0.00177
0.02304;0.00172
0.02188;0.00082
0.02107;-0.00002
0.02117;-0.00002
0.02116;-0.00002
0.02052;-0.00002
0.02026;-0.00002
0.01963;-0.00002
0.01881;0.00082
0.01899;0.00177
0.01855;0.00177
0.01842;0.00177
0.01836;0.00177
0.01838;0.00177
0.01859;0.00176
0.01871;0.00172
0.01884;0.00177
0.01934;0.00177
0.01873;0.00195
0.01848;0.00204
0.01857;0.00204
0.01904;0.00179
0.01982;0.00177
0.02285;0.00174
0.02118;0.00038
0.02039;-0.00001
0.02053;-0.00001
0.02046;0
0.02217;0.00137
0.02306;0.00171
0.02479;0.00578
0.07144;0.01739
0.07733;0.02289
0.16403;0.01799
0.15516;0.01017
0.1491;0.00486
0.14744;0.00334
0.05454;0.00181
0.05642;0.00334
0.05989;0.00634
0.06314;0.01051
0.17119;0.02484
0.18588;0.03644
0.18931;0.03914
0.18677;0.03605
0.07949;0.02299
0.06729;0.01238
0.03185;0.01009
0.02986;0.00834
0.0271;0.0059
